x,p,d,q,P,D,Q,p_norm,p_estac,p_ind,AIC.model
938,0,1,0,3,0,1,1.33211946410044e-06,0.0747484581539037,0.194034379452872,52.5842166713354
868,0,1,0,0,0,3,1.33288227362869e-06,0.074716227231927,0.194594977785918,50.5862789211764
451,0,0,3,0,3,0,1.33647256691117e-06,0.682877833338638,0.0293354876650495,143.306703221754
892,0,1,0,1,0,3,1.34205638531861e-06,0.0746721385428088,0.191127310271037,52.5844041450765
869,0,1,0,0,0,4,1.3434798801475e-06,0.0746533479724376,0.190675165865274,52.5839521344907
893,0,1,0,1,0,4,1.34395702192448e-06,0.0746457804899747,0.190549759239407,54.5837822628577
1063,0,1,1,2,1,0,1.34518277303155e-05,0.0865427645413934,0.881281590526825,68.7761670717438
1174,0,1,2,0,3,3,1.34655094132296e-08,0.0757110261663663,0.137978683625962,132.204716001565
2,0,0,0,0,0,1,1.34782120477974e-06,0.597466273929294,9.99200722162641e-16,202.631018264931
916,0,1,0,2,0,3,1.34985163445819e-06,0.0744944276011597,0.194127425303027,54.5738455736828
961,0,1,0,4,0,0,1.35258373166414e-06,0.0744418471075776,0.191527561334283,52.576619879349
879,0,1,0,0,2,2,1.35680689421868e-06,0.166569823435839,0.450691132422569,103.205637721832
962,0,1,0,4,0,1,1.3569991318727e-06,0.0741150234884733,0.194457417959652,54.5612909776615
54,0,0,0,2,0,5,1.37481037809608e-05,0.463507749333149,1.28907995389227e-12,187.50446012666
1513,0,1,4,3,0,0,1.38007663243411e-05,0.138944230745901,0.756926576682576,52.0969337766429
743,0,0,5,0,3,4,1.40690147249094e-07,0.535092094451669,0.702555918732059,126.976132359914
1507,0,1,4,2,3,0,1.408977606193e-07,0.246156370564829,0.894516527549307,131.72968052924
1053,0,1,1,1,3,2,1.42076294559754e-07,0.0749677778125181,0.862829349462119,138.603908613364
25,0,0,0,1,0,0,1.43608761166615e-06,0.611464541255503,8.88178419700125e-16,202.925862554387
789,0,0,5,2,3,2,1.44875107838839e-07,0.538782571242697,0.689513016857666,127.075833139787
939,0,1,0,3,0,2,1.45081312751315e-06,0.073023881941021,0.208604312004356,54.5249623949016
15,0,0,0,0,2,2,1.45299770473837e-05,0.719027300608546,1.55431223447522e-15,186.889201154328
940,0,1,0,3,0,3,1.45749617304763e-06,0.0730683521194997,0.207595780469134,56.5259857957879
915,0,1,0,2,0,2,1.4607643084605e-06,0.0737192845305872,0.207184693344518,52.5384724732431
1529,0,1,4,3,2,4,1.46281993588437e-09,0.282373384114045,0.00838725476136071,136.362536125766
917,0,1,0,2,0,4,1.46722289639913e-06,0.0728551365934849,0.204393267171624,56.5233881562928
964,0,1,0,4,0,3,1.48306462028551e-06,0.0726714165742261,0.207555161530385,58.5167548104374
55,0,0,0,2,1,0,1.48663389697186e-06,0.659514163250281,1.22124532708767e-15,196.722462247285
941,0,1,0,3,0,4,1.49164871868002e-06,0.0725320702605931,0.207671883802363,58.5155716348132
1172,0,1,2,0,3,1,1.50410691469091e-09,0.103630305694694,0.284150422800459,132.854600473061
9,0,0,0,0,1,2,1.50981937018657e-06,0.646883364785634,1.22124532708767e-15,196.833191715919
1035,0,1,1,1,0,2,1.5142716617526e-06,0.0488079936849761,0.917305816486826,51.2968545960863
1165,0,1,2,0,2,0,1.52996274468232e-06,0.0829498174059465,0.269811112432374,130.872643813683
1603,0,1,5,0,3,0,1.53370190243517e-07,0.0733786482966334,0.941968340663292,144.20286949186
1363,0,1,3,2,3,0,1.53649543717582e-07,0.193405339127685,0.928359709779142,129.637961038232
14,0,0,0,0,2,1,1.54028394121493e-05,0.618805252342938,1.55431223447522e-15,195.77529851221
